Warning,Part,IBIS File,IBIS Component,Timing File,Timing Model,Pin Number,Pin Name,Model Name,Model Type,Additional Data
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,M3, SR_LDO0,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,M4, DPI_P07,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,M5, DPI_P11,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,M6, SR_LDO5,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,M7, SR_LDO7,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,M8, DAI_P07,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,M9, SR_LDO16,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,N1, DPI_P14,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,N10, SR_SCLK,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,N11, DAI_P09,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,N12, SR_SDI,PDU12SDGZ,I/O,
