Transfer Net,Driver,Receiver,Simulation,Node,Setup Margin (ns),Hold Margin (ns),Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Min Slew Time (ns),Max Slew Time (ns),Min Voltage (V),Max Voltage (V),UI (ns),VinMeas(H/L) Width (ns),Virtual Eye Width (ns),VinMeas Width (ns),VinMeas Jitter (ns),Inner Height (V),Outer Height (V),Inner Eye Min (V),Inner Eye Max (V),Outer Eye Min (V),Outer Eye Max (V),Rising Jitter (ns),Falling Jitter (ns),Ringback Margin (V),Ringback_High Margin (V),Ringback_Low Margin (V),Corner,Ac Noise,Ac Noise Source,$T1:DELAY,$T2:DELAY,$T4:DELAY,PATTERN
sheet1,IO0,Controller,io0_ssse_6_0o75_1o5\io0_ssse_6_0o75_1o5.csd,Controller_pad,7.529,4.126,1.326,1.420,1.401,1.471,0.066,0.088,-0.703,3.856,15.000,14.798,14.855,14.872,0.128,2.219,4.517,0.574,2.793,-0.703,3.815,0.008,0.004,0.249,0.637,0.249,SSSE,0.00V,tnet,6in,0.75in,1.5in,default_clock
sheet1,IO1,Controller,io1_ssse_6_0o75_1o5\io1_ssse_6_0o75_1o5.csd,Controller_pad,7.169,4.488,1.688,1.800,1.753,1.831,0.072,0.108,-0.699,3.879,15.000,14.770,14.857,14.862,0.138,2.415,4.578,0.413,2.828,-0.699,3.879,0.007,0.003,0.250,0.250,0.379,SSSE,0.00V,tnet,6in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,controller_ssse_6_1o5_0o75\controller_ssse_6_1o5_0o75.csd,IO0_pad,7.373,4.276,1.476,1.565,1.550,1.627,0.068,0.084,-0.673,3.764,15.000,14.802,14.849,14.875,0.125,2.662,4.434,0.241,2.902,-0.672,3.761,0.006,0.008,0.716,0.810,0.716,SSSE,0.00V,tnet,6in,1.5in,0.75in,default_clock
sheet1,Controller,IO1,controller_ssse_6_1o5_0o75\controller_ssse_6_1o5_0o75.csd,IO1_pad,7.322,4.321,1.521,1.624,1.601,1.678,0.067,0.099,-0.667,3.740,15.000,14.794,14.843,14.874,0.126,2.557,4.405,0.334,2.891,-0.667,3.738,0.008,0.007,0.599,0.599,0.656,SSSE,0.00V,tnet,6in,1.5in,0.75in,default_clock
sheet1,IO0,Controller,io0_ssse_6_1o5_0o75\io0_ssse_6_1o5_0o75.csd,Controller_pad,7.387,4.283,1.483,1.569,1.538,1.613,0.062,0.085,-0.702,3.822,15.000,14.789,14.870,14.862,0.138,1.927,4.499,0.623,2.550,-0.702,3.797,0.003,0.006,0.367,0.865,0.367,SSSE,0.00V,tnet,6in,1.5in,0.75in,default_clock
sheet1,IO1,Controller,io1_ssse_6_1o5_0o75\io1_ssse_6_1o5_0o75.csd,Controller_pad,7.341,4.321,1.521,1.607,1.580,1.659,0.071,0.083,-0.706,3.813,15.000,14.790,14.862,14.865,0.135,2.214,4.517,0.377,2.591,-0.706,3.811,0.005,0.006,0.607,0.769,0.607,SSSE,0.00V,tnet,6in,1.5in,0.75in,default_clock
sheet1,Controller,IO0,controller_ssse_6_1o5_1o5\controller_ssse_6_1o5_1o5.csd,IO0_pad,7.375,4.260,1.460,1.557,1.548,1.625,0.067,0.091,-0.668,3.761,15.000,14.808,14.835,14.885,0.115,2.591,4.428,0.253,2.844,-0.668,3.761,0.009,0.007,0.295,0.391,0.295,SSSE,0.00V,tnet,6in,1.5in,1.5in,default_clock
sheet1,Controller,IO1,controller_ssse_6_1o5_1o5\controller_ssse_6_1o5_1o5.csd,IO1_pad,7.169,4.478,1.678,1.775,1.749,1.831,0.067,0.094,-0.696,3.825,15.000,14.791,14.847,14.869,0.131,2.615,4.520,0.306,2.921,-0.696,3.825,0.006,0.013,0.640,0.706,0.640,SSSE,0.00V,tnet,6in,1.5in,1.5in,default_clock
sheet1,IO0,Controller,io0_ssse_6_1o5_1o5\io0_ssse_6_1o5_1o5.csd,Controller_pad,7.372,4.265,1.465,1.564,1.557,1.628,0.066,0.097,-0.704,3.860,15.000,14.811,14.837,14.890,0.110,1.832,4.540,0.749,2.582,-0.704,3.836,0.003,0.004,0.238,0.558,0.238,SSSE,0.00V,tnet,6in,1.5in,1.5in,default_clock
sheet1,IO1,Controller,io1_ssse_6_1o5_1o5\io1_ssse_6_1o5_1o5.csd,Controller_pad,7.208,4.475,1.675,1.764,1.716,1.792,0.070,0.086,-0.706,3.828,15.000,14.767,14.883,14.844,0.156,2.203,4.509,0.411,2.614,-0.706,3.804,0.005,0.006,0.556,0.795,0.556,SSSE,0.00V,tnet,6in,1.5in,1.5in,default_clock
