Setup Margin (ns),Hold Margin (ns),Data R/F,Transfer Net,Driver,Receiver,UI (ns),Min Data Etch Delay (ns),Max Data Etch Delay (ns),Min Tco (ns),Max Tco (ns),Setup (ns),Hold (ns),Setup Skew (ns),Hold Skew (ns),Source Clock Net,Target Clock Net,Simulation,Corner
7.748,3.974,F,sheet1,IO1,Controller,15.000,1.174,1.252,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_4_1o5_0o75\io1_ssse_4_1o5_0o75.csd,SSSE
7.827,3.881,R,sheet1,Controller,IO0,15.000,1.081,1.173,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_1o5_1o5\controller_ssse_4_1o5_1o5.csd,SSSE
7.788,3.937,F,sheet1,Controller,IO0,15.000,1.137,1.212,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_1o5_1o5\controller_ssse_4_1o5_1o5.csd,SSSE
7.631,4.075,R,sheet1,Controller,IO1,15.000,1.275,1.369,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_1o5_1o5\controller_ssse_4_1o5_1o5.csd,SSSE
7.570,4.158,F,sheet1,Controller,IO1,15.000,1.358,1.430,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_1o5_1o5\controller_ssse_4_1o5_1o5.csd,SSSE
7.830,3.878,R,sheet1,IO0,Controller,15.000,1.078,1.170,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_4_1o5_1o5\io0_ssse_4_1o5_1o5.csd,SSSE
7.770,3.948,F,sheet1,IO0,Controller,15.000,1.148,1.230,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_4_1o5_1o5\io0_ssse_4_1o5_1o5.csd,SSSE
7.621,4.094,R,sheet1,IO1,Controller,15.000,1.294,1.379,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_4_1o5_1o5\io1_ssse_4_1o5_1o5.csd,SSSE
7.586,4.146,F,sheet1,IO1,Controller,15.000,1.346,1.414,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_4_1o5_1o5\io1_ssse_4_1o5_1o5.csd,SSSE
7.782,3.927,R,sheet1,Controller,IO0,15.000,1.127,1.218,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_0o75_0o75\controller_ssse_5_0o75_0o75.csd,SSSE
7.726,4.003,F,sheet1,Controller,IO0,15.000,1.203,1.274,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_0o75_0o75\controller_ssse_5_0o75_0o75.csd,SSSE
7.565,4.135,R,sheet1,Controller,IO1,15.000,1.335,1.435,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_0o75_0o75\controller_ssse_5_0o75_0o75.csd,SSSE
7.519,4.200,F,sheet1,Controller,IO1,15.000,1.400,1.481,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_0o75_0o75\controller_ssse_5_0o75_0o75.csd,SSSE
7.798,3.915,R,sheet1,IO0,Controller,15.000,1.115,1.202,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_5_0o75_0o75\io0_ssse_5_0o75_0o75.csd,SSSE
7.726,4.000,F,sheet1,IO0,Controller,15.000,1.200,1.274,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_5_0o75_0o75\io0_ssse_5_0o75_0o75.csd,SSSE
7.552,4.144,R,sheet1,IO1,Controller,15.000,1.344,1.448,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_5_0o75_0o75\io1_ssse_5_0o75_0o75.csd,SSSE
7.513,4.202,F,sheet1,IO1,Controller,15.000,1.402,1.487,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_5_0o75_0o75\io1_ssse_5_0o75_0o75.csd,SSSE
7.775,3.934,R,sheet1,Controller,IO0,15.000,1.134,1.225,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_0o75_1o5\controller_ssse_5_0o75_1o5.csd,SSSE
6.653,4.004,F,sheet1,Controller,IO0,15.000,1.204,2.347,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_5_0o75_1o5\controller_ssse_5_0o75_1o5.csd,SSSE
