Warning,Part,IBIS File,IBIS Component,Timing File,Timing Model,Pin Number,Pin Name,Model Name,Model Type,Additional Data
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,59, 2s_hstl18c1_rtio_d4,2s_hstl18c1_rtio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,60, 2s_hstl18c1_rtio_d6,2s_hstl18c1_rtio_d6,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,61, 2s_hstl18c1_rtio_d8,2s_hstl18c1_rtio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,62, 2s_hstl18c1_rtio_d10,2s_hstl18c1_rtio_d10,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,63, 2s_hstl18c1_rtio_d12,2s_hstl18c1_rtio_d12,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,64, 2s_hstl18c2_cio_d16,2s_hstl18c2_cio_d16,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,65, 2s_hstl18c2_cio_d18,2s_hstl18c2_cio_d18,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,66, 2s_hstl18c2_cio_d20,2s_hstl18c2_cio_d20,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,67, 2s_hstl18_cin,2s_hstl18_cin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,68, 2s_hstl18_rrin,2s_hstl18_rrin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,69, 2s_hstl18_rtin,2s_hstl18_rtin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,70, 2s_pci33_cio,2s_pci33_cio,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,71, 2s_pci33_cin,2s_pci33_cin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,72, 2s_pcix33_cio,2s_pcix33_cio,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,73, 2s_pcix33_cin,2s_pcix33_cin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,74, 2s_sstl18c1_cio_d4,2s_sstl18c1_cio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,75, 2s_sstl18c1_cio_d6,2s_sstl18c1_cio_d6,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,76, 2s_sstl18c1_cio_d8,2s_sstl18c1_cio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,77, 2s_sstl18c1_cio_d10,2s_sstl18c1_cio_d10,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,78, 2s_sstl18c1_cio_d12,2s_sstl18c1_cio_d12,I/O,
